平台商品ID,平台商品编码,平台商品名称,平台售价(元),商品状态,平台SKUID,商品编码,平台规格编码,平台商品属性,平台库存,最后同步库存数量,最后同步库存时间,允许同步库存
"568018454631	","V800683S-VJ00277	","VERSACE范思哲COLLECTION系列正品2018新款美杜莎男士T恤V800683S	",1062,在售,"3624389760373	",VECAHC036MPJTE,"VECAHC036MPJTEWHTXXL	",1627207:1384613503:颜色:白色V7001-DM;20509:28318:尺码:XXL,37,37,2018/6/14 14:28,是
"568018454631	","V800683S-VJ00277	","VERSACE范思哲COLLECTION系列正品2018新款美杜莎男士T恤V800683S	",1062,在售,"3624389760378	",VECAHC037MPJTE,"VECAHC037MPJTEGRYXXL	",1627207:1497428148:颜色:灰色V7652-DM;20509:28318:尺码:XXL,10,10,2018/6/14 3:35,是
"565890125272	","A0405-5526	","MOSCHINO莫斯奇诺 正品秋冬女士时尚撞色休闲裤 A0405-5526	",4200,在售,"3754892374379	",MOSAFD016LPPPA,"MOSAFD016LPPPAWHT040	",1627207:797875187:颜色分类:白色拼黑-DM;20518:28389:尺寸:40,1,1,2018/6/14 15:35,是
